epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.744,2.22293,5.56314,1.81024,0.43915,0.46158,0.4381,0.19015,2.08219,4.04619,1.78201,0.00033307,0.00033307,0.00033307
2,308.055,2.11012,4.37113,1.72924,0.53171,0.52454,0.49336,0.23161,2.0679,3.7451,1.84409,0.000665752,0.000665752,0.000665752
3,447.272,2.07628,4.14546,1.72592,0.53747,0.53763,0.51088,0.22068,2.0644,3.68926,1.8275,0.000995835,0.000995835,0.000995835
4,593.35,2.05818,4.00035,1.71103,0.58753,0.58833,0.55004,0.26481,2.03502,3.45797,1.78658,0.000991232,0.000991232,0.000991232
5,733.67,2.02512,3.8298,1.69007,0.48318,0.59234,0.54009,0.25289,2.01261,3.39335,1.79938,0.000984449,0.000984449,0.000984449
6,870.681,1.99999,3.72922,1.67725,0.59044,0.59164,0.57886,0.26664,2.00776,3.27863,1.78233,0.000975773,0.000975773,0.000975773
7,1013.06,1.97713,3.61146,1.65668,0.57719,0.58902,0.58516,0.28733,1.97921,3.24606,1.75056,0.000965239,0.000965239,0.000965239
8,1157.35,1.96716,3.55712,1.64979,0.704,0.57347,0.57018,0.28606,1.96348,3.20586,1.76129,0.000952889,0.000952889,0.000952889
9,1307.14,1.95162,3.50219,1.63674,0.61936,0.60233,0.59414,0.29653,1.93881,3.14291,1.72043,0.000938772,0.000938772,0.000938772
10,1448.8,1.94003,3.44288,1.62294,0.60631,0.62151,0.60506,0.30251,1.95263,3.13181,1.74258,0.000922942,0.000922942,0.000922942
11,1598.47,1.93048,3.39842,1.61572,0.61091,0.6291,0.61672,0.29395,1.94675,3.12218,1.7357,0.000905463,0.000905463,0.000905463
12,1739.18,1.92032,3.36392,1.61153,0.63658,0.62928,0.61612,0.31461,1.91552,3.04771,1.71834,0.000886404,0.000886404,0.000886404
13,1886.62,1.90588,3.32309,1.60159,0.68206,0.6008,0.61944,0.31524,1.90291,3.03348,1.6939,0.000865839,0.000865839,0.000865839
14,2024.45,1.90279,3.26573,1.59154,0.65973,0.63498,0.63411,0.32668,1.90821,2.96297,1.72653,0.000843851,0.000843851,0.000843851
