epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,240.03,1.66365,7.26291,1.34191,0.64205,0.35884,0.39802,0.24998,1.26397,4.8699,1.06865,0.00998845,0.00332948,0.00998845,0.00332948,0.00998845,0.00332948,0.00998845,0.00332948
2,435.14,1.58744,5.48716,1.24512,0.33081,0.45331,0.3578,0.21352,1.34736,4.80575,1.10431,0.0199863,0.00666209,0.0199863,0.00666209,0.0199863,0.00666209,0.0199863,0.00666209
3,618.063,1.64513,5.76029,1.29586,0.41016,0.31805,0.28073,0.16426,1.46985,6.38049,1.27567,0.0299754,0.00999181,0.0299754,0.00999181,0.0299754,0.00999181,0.0299754,0.00999181
4,796.152,1.68863,5.80474,1.33642,0.45558,0.47538,0.41137,0.22327,1.44498,4.82112,1.2269,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,972.943,1.65756,5.46597,1.33134,0.40374,0.53797,0.4617,0.25415,1.48164,4.38002,1.19471,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1151.4,1.62018,5.20148,1.31182,0.43203,0.56915,0.45481,0.25592,1.42268,4.1772,1.17944,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1329.26,1.60638,4.97723,1.29632,0.59133,0.54587,0.55134,0.30388,1.28131,3.91204,1.15179,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1506.48,1.60265,4.89787,1.29085,0.4848,0.5863,0.51667,0.28288,1.35764,3.7724,1.1281,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1683.74,1.57756,4.73024,1.27935,0.52324,0.62432,0.52561,0.31183,1.28208,3.67548,1.12176,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1861.02,1.55101,4.61758,1.2669,0.53587,0.52215,0.50493,0.28817,1.38666,3.79978,1.14689,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,2038.51,1.52874,4.52988,1.25142,0.5498,0.60547,0.57508,0.32431,1.35075,3.67037,1.11796,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,2215.9,1.52021,4.4986,1.25356,0.65466,0.60159,0.6091,0.34596,1.26849,3.38936,1.10007,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,2393.27,1.50224,4.37771,1.23434,0.61132,0.65013,0.63868,0.36116,1.28075,3.41445,1.09499,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,2570.6,1.50734,4.40738,1.23775,0.66385,0.6374,0.63983,0.37174,1.26191,3.41066,1.09339,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,2748.01,1.49944,4.37187,1.23506,0.62899,0.6765,0.64016,0.36661,1.21309,3.36304,1.07348,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,2927.19,1.49265,4.29565,1.23635,0.65594,0.67449,0.66191,0.38733,1.2134,3.1557,1.06988,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,3114.46,1.48176,4.18482,1.22937,0.56193,0.67467,0.64031,0.39634,1.16799,3.12464,1.06799,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,3306.47,1.47094,4.11481,1.21836,0.65164,0.67243,0.68018,0.40448,1.16173,3.04005,1.05059,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,3499.56,1.47124,4.08164,1.21104,0.65249,0.68272,0.68315,0.37719,1.24811,3.09733,1.08956,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,3692.33,1.46434,4.06045,1.21219,0.72667,0.6434,0.68038,0.40769,1.16824,2.93728,1.0587,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,3884.89,1.45913,4.04111,1.20898,0.67477,0.70372,0.65471,0.36897,1.25987,3.01513,1.072,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,4076.3,1.45867,4.0385,1.21379,0.7026,0.66903,0.67339,0.39146,1.23182,3.15681,1.05742,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,4268.48,1.44315,3.95209,1.19848,0.70081,0.65478,0.67622,0.40586,1.20762,3.03853,1.05323,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,4439.47,1.4413,3.94185,1.20177,0.68858,0.71209,0.71785,0.43251,1.1851,2.91928,1.05068,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,4609.12,1.43999,3.96331,1.19843,0.75607,0.71065,0.73064,0.45275,1.17133,2.92733,1.04097,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,4777.13,1.42883,3.8897,1.19426,0.73584,0.68955,0.71487,0.42118,1.14534,2.92395,1.03434,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,4947.01,1.42632,3.83704,1.18708,0.73036,0.69471,0.71762,0.42975,1.13456,2.83193,1.03055,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,5115.74,1.43842,3.8385,1.19133,0.68617,0.69282,0.6854,0.41639,1.18755,2.91703,1.03393,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,5281.2,1.43027,3.80728,1.18639,0.73894,0.67119,0.70927,0.4301,1.19745,2.90666,1.0444,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,5447.16,1.41871,3.82068,1.18068,0.7483,0.68977,0.71266,0.42962,1.14704,2.80972,1.02955,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,5617.06,1.42359,3.7798,1.18013,0.69211,0.68894,0.70544,0.43061,1.1868,2.76499,1.05001,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,5784.13,1.41832,3.77937,1.1822,0.8057,0.68728,0.75556,0.46217,1.19106,2.69929,1.04422,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,5947.67,1.40432,3.6986,1.1739,0.6821,0.74652,0.74095,0.43162,1.16141,2.7644,1.03913,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,6110.48,1.40563,3.66557,1.18254,0.74794,0.70346,0.72376,0.42443,1.17571,2.7848,1.03182,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,6273.6,1.39036,3.63692,1.16766,0.69989,0.74425,0.72353,0.42552,1.15523,2.64831,1.02504,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,6436.91,1.40312,3.65594,1.17233,0.77067,0.71115,0.71275,0.44146,1.14925,2.69914,1.02704,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,6600.1,1.39194,3.62082,1.16768,0.73492,0.74143,0.73507,0.44793,1.10763,2.65082,1.00433,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,6763.33,1.39827,3.61891,1.16757,0.81914,0.70179,0.74599,0.47018,1.11435,2.72373,1.01272,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,6926.96,1.39745,3.62484,1.16405,0.76418,0.70431,0.72762,0.45664,1.11526,2.7194,1.01852,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,7090.19,1.37007,3.54043,1.15928,0.78254,0.72084,0.73963,0.46359,1.14019,2.6098,1.02672,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,7253.32,1.38192,3.58833,1.16432,0.76389,0.77276,0.76931,0.46371,1.12035,2.81307,1.01172,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,7416.99,1.38351,3.53738,1.15937,0.76803,0.74731,0.75578,0.45651,1.11272,2.65511,1.00544,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,7580.45,1.36556,3.4739,1.15477,0.7772,0.72917,0.75285,0.46969,1.10727,2.65034,1.00999,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,7743.84,1.37068,3.48466,1.15028,0.77816,0.7117,0.73058,0.43995,1.12161,2.67192,1.01762,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,7907.17,1.38289,3.52229,1.15849,0.74094,0.73934,0.71817,0.42966,1.1131,2.669,1.00739,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,8070.46,1.37786,3.48571,1.158,0.74487,0.72755,0.73188,0.45151,1.13262,2.71461,1.00535,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,8233.97,1.35347,3.43494,1.14184,0.75849,0.73628,0.74773,0.47114,1.12026,2.66446,0.99957,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,8397.36,1.36382,3.42885,1.15045,0.82516,0.72464,0.7642,0.47715,1.12144,2.61101,1.00929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,8560.87,1.3613,3.42877,1.14915,0.77095,0.7266,0.74213,0.45676,1.11188,2.56354,1.00197,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,8724.07,1.3477,3.39106,1.14392,0.77024,0.73909,0.72072,0.45724,1.11298,2.66882,1.00987,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,8887.28,1.3579,3.41754,1.14595,0.75833,0.74745,0.74608,0.47288,1.10999,2.5964,1.00368,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,9050.35,1.36045,3.4608,1.14903,0.79932,0.73035,0.74982,0.46729,1.08563,2.56193,0.99023,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,9213.57,1.35014,3.40379,1.14383,0.78836,0.74164,0.76567,0.49859,1.05788,2.52787,0.98362,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,9376.87,1.36016,3.38139,1.14964,0.79125,0.71823,0.74349,0.46607,1.07201,2.63771,0.98726,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,9540.15,1.345,3.28872,1.14205,0.78237,0.73482,0.7472,0.46628,1.1032,2.66936,0.99819,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,9703.25,1.34114,3.26774,1.13752,0.70877,0.74165,0.73842,0.46133,1.07447,2.61741,0.98515,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,9866.35,1.32918,3.29309,1.13802,0.77024,0.75892,0.75498,0.49477,1.06281,2.54756,0.98538,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,10029.6,1.34097,3.30884,1.14232,0.7587,0.72739,0.73592,0.46809,1.0609,2.64091,0.985,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,10193.1,1.33074,3.26364,1.13563,0.778,0.76273,0.75478,0.4738,1.0945,2.49948,0.98854,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,10356.4,1.32665,3.22208,1.13876,0.78268,0.72759,0.74965,0.48152,1.07758,2.56904,0.98961,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,10519.5,1.3191,3.24321,1.12793,0.80025,0.73161,0.74607,0.4905,1.05285,2.52438,0.98096,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,10682.8,1.31436,3.20955,1.12637,0.78019,0.72811,0.7395,0.49431,1.02855,2.5456,0.97326,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,10846,1.31315,3.23101,1.12731,0.80716,0.72321,0.73531,0.47678,1.05585,2.54185,0.98386,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,11009.2,1.32093,3.21049,1.13062,0.80556,0.71872,0.74342,0.48693,1.04446,2.46756,0.97308,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,11172.2,1.32641,3.19518,1.13043,0.83816,0.71876,0.75199,0.4958,1.03246,2.49817,0.97517,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,11335.2,1.3272,3.19076,1.13146,0.83786,0.73439,0.76191,0.48471,1.07192,2.4787,0.98109,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,11498.5,1.31127,3.13266,1.11782,0.82394,0.74035,0.76917,0.50767,1.03713,2.48644,0.97344,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,11661.7,1.31806,3.18952,1.12952,0.79437,0.73323,0.74779,0.48831,1.04977,2.50256,0.97791,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,11824.7,1.3159,3.18118,1.12826,0.80812,0.7388,0.7557,0.49303,1.04315,2.50076,0.97569,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
