epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.409,2.0764,2.7081,1.78277,0.47882,0.33966,0.28883,0.11241,2.07964,2.36671,1.92992,0.000302743,0.000302743,0.000302743
2,196.494,1.97887,2.05794,1.72478,0.53914,0.36934,0.3372,0.13944,1.97425,1.89847,1.78695,0.000599746,0.000599746,0.000599746
3,286.67,1.95721,1.90886,1.70806,0.49039,0.52189,0.4683,0.20686,1.97033,1.83012,1.78553,0.00089075,0.00089075,0.00089075
4,376.938,1.9255,1.81986,1.69292,0.564,0.42233,0.36315,0.16066,1.94606,1.82065,1.73576,0.000882003,0.000882003,0.000882003
5,461.915,1.9005,1.73344,1.67696,0.49785,0.53854,0.50174,0.23471,1.90251,1.74196,1.72858,0.000873004,0.000873004,0.000873004
6,547.03,1.87654,1.67713,1.66652,0.5208,0.52482,0.54185,0.28465,1.92067,1.77815,1.7516,0.000864004,0.000864004,0.000864004
7,632.142,1.85536,1.63219,1.64514,0.53656,0.54754,0.56228,0.28497,1.90666,1.75212,1.76088,0.000855005,0.000855005,0.000855005
8,718.343,1.83382,1.60286,1.63255,0.58388,0.55554,0.55004,0.25504,1.90424,1.78336,1.71522,0.000846006,0.000846006,0.000846006
9,806.082,1.82578,1.57341,1.62402,0.58375,0.55176,0.56393,0.29317,1.88483,1.64233,1.70112,0.000837007,0.000837007,0.000837007
10,902.644,1.8155,1.5554,1.61558,0.60128,0.57909,0.5685,0.28842,1.87165,1.65691,1.71929,0.000828008,0.000828008,0.000828008
11,990.165,1.80212,1.5298,1.60546,0.55928,0.52162,0.53905,0.27246,1.90849,1.72516,1.72675,0.000819009,0.000819009,0.000819009
12,1078.34,1.79576,1.5258,1.60165,0.5957,0.57716,0.55539,0.28415,1.87937,1.63122,1.70746,0.00081001,0.00081001,0.00081001
